2025-11-07T21:51:44.000000000Z [inf]  Starting Container
2025-11-07T21:51:46.107397717Z [err]  [2025-11-07 21:51:45 +0000] [1] [INFO] Starting gunicorn 23.0.0
2025-11-07T21:51:46.107402221Z [err]  [2025-11-07 21:51:45 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-11-07T21:51:46.107406264Z [err]  [2025-11-07 21:51:45 +0000] [1] [INFO] Using worker: eventlet
2025-11-07T21:51:46.107411064Z [err]  [2025-11-07 21:51:45 +0000] [2] [INFO] Booting worker with pid: 2
2025-11-07T21:51:46.149117849Z [err]  [2025-11-07 21:51:46 +0000] [2] [ERROR] Exception in worker process
2025-11-07T21:51:46.149122819Z [err]  Traceback (most recent call last):
2025-11-07T21:51:46.149128218Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/arbiter.py", line 608, in spawn_worker
2025-11-07T21:51:46.149132784Z [err]      worker.init_process()
2025-11-07T21:51:46.149138644Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/geventlet.py", line 142, in init_process
2025-11-07T21:51:46.149142163Z [err]      super().init_process()
2025-11-07T21:51:46.149145911Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 135, in init_process
2025-11-07T21:51:46.149150876Z [err]      self.load_wsgi()
2025-11-07T21:51:46.149156694Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 147, in load_wsgi
2025-11-07T21:51:46.149160755Z [err]      self.wsgi = self.app.wsgi()
2025-11-07T21:51:46.149164436Z [err]                  ^^^^^^^^^^^^^^^
2025-11-07T21:51:46.149168435Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/base.py", line 66, in wsgi
2025-11-07T21:51:46.149173518Z [err]      self.callable = self.load()
2025-11-07T21:51:46.149179947Z [err]                      ^^^^^^^^^^^
2025-11-07T21:51:46.149184822Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 57, in load
2025-11-07T21:51:46.149188286Z [err]      return self.load_wsgiapp()
2025-11-07T21:51:46.149193609Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:46.149199809Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 47, in load_wsgiapp
